section,method,training_mode,train_graph,infer_graph,variant,n_eval_spots,n_reference_domains,n_predicted_domains,ari,nmi,pas,chaos
151509,graphst,fullneighbors,spatial,spatial,mclust_refined,4788,7,7,0.4626702253311599,0.6149395736869098,0.9125104427736008,0.0536614031315169
151510,graphst,fullneighbors,spatial,spatial,mclust_refined,4595,7,7,0.4350929768742625,0.6353382541004291,0.9142763873775844,0.0551356553384739
151669,graphst,fullneighbors,spatial,spatial,mclust_refined,3636,5,5,0.2933175285773026,0.4914117658942887,0.9401265126512652,0.0614229111630571
151670,graphst,fullneighbors,spatial,spatial,mclust_refined,3484,5,5,0.5985891542883335,0.6134184162792445,0.9356199770378876,0.0603233662071562
151671,graphst,fullneighbors,spatial,spatial,mclust_refined,4093,5,5,0.6184961348111151,0.7366329575971705,0.9454678719765454,0.0577563943418469
151672,graphst,fullneighbors,spatial,spatial,mclust_refined,3888,5,5,0.6304972494519601,0.7071094061067821,0.9435956790123456,0.059518737007271
151673,graphst,fullneighbors,spatial,spatial,mclust_refined,3611,7,7,0.586462229276948,0.695357647111403,0.9071171420659098,0.0604853345688209
151674,graphst,fullneighbors,spatial,spatial,mclust_refined,3635,7,7,0.475557068546822,0.6056823319759982,0.9148830811554332,0.0597818188905562
151675,graphst,fullneighbors,spatial,spatial,mclust_refined,3566,7,7,0.4320509390883325,0.5922191545945794,0.909814918676388,0.0603425175197282
151676,graphst,fullneighbors,spatial,spatial,mclust_refined,3431,7,7,0.4919874604332501,0.6055724628482898,0.914573010784028,0.0624329706791582
151507,graphst,sampled,annotation,annotation,mclust_refined,4221,7,7,0.4442300085160487,0.6560631283948094,0.9359867330016584,0.0562569396324277
151508,graphst,sampled,annotation,annotation,mclust_refined,4381,7,7,0.4937581490729946,0.607564145349161,0.93026706231454,0.0550920697504321
151509,graphst,sampled,annotation,annotation,mclust_refined,4788,7,7,0.4087716025320159,0.5842792590257985,0.9184837092731828,0.053500502371742
151510,graphst,sampled,annotation,annotation,mclust_refined,4595,7,7,0.4734446910655557,0.6462674464987058,0.9099455930359086,0.0551432207535859
151669,graphst,sampled,annotation,annotation,mclust_refined,3636,5,5,0.4677313843476004,0.5937603256612138,0.9443894389438944,0.061183264847497
151670,graphst,sampled,annotation,annotation,mclust_refined,3484,5,5,0.4264205156340906,0.5226594118335776,0.940154994259472,0.0603050250633925
151671,graphst,sampled,annotation,annotation,mclust_refined,4093,5,5,0.6521728371842215,0.7568858724728632,0.9449792328365502,0.057735478814601
151672,graphst,sampled,annotation,annotation,mclust_refined,3888,5,5,0.6812532473081716,0.7369496293781798,0.9443930041152264,0.059531470446118
151673,graphst,sampled,annotation,annotation,mclust_refined,3611,7,7,0.6248391995654676,0.7335772719981972,0.8919412905012462,0.0604850342217096
151674,graphst,sampled,annotation,annotation,mclust_refined,3635,7,7,0.6113598822911726,0.7190102770102782,0.8989821182943604,0.0597924209105319
151675,graphst,sampled,annotation,annotation,mclust_refined,3566,7,7,0.594561655580692,0.67908959083052,0.8961581604038138,0.0603758037777776
151676,graphst,sampled,annotation,annotation,mclust_refined,3431,7,6,0.5535802884123782,0.6454930764513026,0.92293791897406,0.0623567818861146
151507,graphst,sampled,annotation,spatial,mclust_refined,4221,7,7,0.4684385171518831,0.666395597890145,0.9312959014451552,0.0562580196990545
151508,graphst,sampled,annotation,spatial,mclust_refined,4381,7,7,0.4609743387581941,0.6036162421305102,0.9352887468614473,0.0551393779990031
