sample,x,y,cluster
Benign04,4573.0,3234.5,3
Benign04,4202.9,3247.0,1
Benign04,5661.0,3337.4,3
Benign04,2267.0,4144.9,3
Benign04,839.98,3483.9,3
Benign04,3153.9,1488.2,3
Benign04,3658.0,3257.3,3
Benign04,3269.2,5642.0,3
Benign04,2794.9,3342.3,3
Benign04,1561.8,2867.7,3
Benign04,5105.7,3130.7,2
Benign04,4152.3,1673.8,3
Benign04,1978.6,3099.7,3
Benign04,4271.4,3866.0,3
Benign04,5135.2,1727.8,3
Benign04,4177.3,1042.1,3
Benign04,1807.0,1330.4,3
Benign04,4177.8,3370.5,3
Benign04,2684.5,3871.6,2
Benign04,2732.6,2523.7,2
Benign04,2918.3,2262.0,3
Benign04,4890.3,3830.5,3
Benign04,3768.8,2893.8,3
Benign04,2205.5,5341.3,3
Benign04,1828.0,1405.5,3
Benign04,2430.8,1785.6,3
Benign04,3607.4,5333.6,3
Benign04,4392.9,3914.7,2
Benign04,1695.6,3106.7,3
Benign04,3748.6,4885.3,2
Benign04,3643.0,5036.4,3
Benign04,2975.7,3761.9,3
Benign04,4751.7,3757.5,3
Benign04,3975.5,5279.7,3
Benign04,4625.0,4255.2,3
Benign04,4736.9,3420.0,3
Benign04,3017.0,4073.6,3
Benign04,5447.8,2957.8,3
Benign04,4841.8,3049.5,3
Benign04,2599.8,2361.5,3
Benign04,2560.7,2297.6,3
Benign04,3978.8,3948.7,3
Benign04,2731.2,3503.0,3
Benign04,1642.7,3047.2,3
Benign04,2660.4,2182.6,3
Benign04,2608.4,909.37,3
Benign04,4233.5,4529.5,2
Benign04,2849.9,3118.0,3
Benign04,3745.0,2878.8,3
Benign04,2142.5,3627.0,3
Benign04,3795.0,1890.0,3
Benign04,3307.1,5171.4,3
Benign04,4075.2,3894.9,3
Benign04,1357.4,3942.0,3
Benign04,4243.9,1224.2,3
Benign04,1648.5,3188.0,3
Benign04,2210.2,2419.9,3
Benign04,3558.7,5162.1,3
Benign04,1644.8,3297.0,4
Benign04,1058.5,3874.0,3
Benign04,3807.2,3416.3,3
Benign04,3966.6,3660.8,3
Benign04,2158.0,2651.4,3
Benign04,2116.3,2777.9,3
Benign04,2203.4,1920.2,3
Benign04,2743.6,1685.9,3
Benign04,721.19,2977.4,3
Benign04,1266.3,4054.1,2
Benign04,4452.8,2957.3,3
Benign04,4221.9,3227.8,1
Benign04,1769.8,3597.7,3
Benign04,4355.7,3880.9,2
Benign04,4393.2,2530.9,2
Benign04,4589.9,3706.9,2
Benign04,4238.3,1378.7,3
Benign04,2722.1,3345.7,3
Benign04,3192.8,3503.3,3
Benign04,2189.5,2891.9,3
Benign04,3064.5,2323.2,3
Benign04,2696.3,1791.2,3
