cavity_sigma,repeat,method,ARI,NMI,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction
1.0,3,No graph,0.3693303470727641,0.669257316070401,0.9821936441201929,0.17163663079649077,0.2922100616205279,0.1711042178277541,0.0023494497341412144
1.0,3,1-hop Gaussian,0.47680752374674673,0.7492383234933105,0.9980611208567999,0.233588314101733,0.37857430527587593,0.23348236462990563,0.020035084479734098
1.0,3,2-hop Gaussian,0.5473541336611061,0.7424016331680563,0.9991451947734766,0.5304032153507066,0.6929493965699767,0.5301626385019115,0.24773069564863434
1.0,3,4-hop Gaussian,0.6586863598785906,0.7310386763313258,0.9914672816373594,0.7432041142659579,0.8495702005730659,0.7384806973848069,0.5194868838281925
1.0,3,8-hop Gaussian,0.5530214043260255,0.6818166451082991,0.9960649115475693,0.6180690608928648,0.7628076912819691,0.6165635575866009,0.5056066304499234
1.0,4,No graph,0.3590059827951325,0.6578340658991088,0.9851310812573366,0.16320930031548467,0.28002595235888406,0.16280824280048284,0.0023477240119994785
1.0,4,1-hop Gaussian,0.46216000626207787,0.7493711669851079,0.9991935483870967,0.24095682613768962,0.38827953619554995,0.24090997472292436,0.017293906810035842
1.0,4,2-hop Gaussian,0.5155806514907466,0.7392191034214118,0.99800796812749,0.3789057435498509,0.5492732740258114,0.37861939412260054,0.15856573705179283
1.0,4,4-hop Gaussian,0.6031895369709792,0.7149603755927628,0.9954742416947521,0.6701672500972384,0.8010538142652357,0.6681315840496348,0.494174289841117
1.0,4,8-hop Gaussian,0.5238495760294626,0.6713774143665011,0.9965361335958579,0.5905829984009681,0.741642244654293,0.5893731266038428,0.4712316779698097
1.0,5,No graph,0.36834835081875933,0.6640903318945398,0.9946737683089214,0.12913263321664722,0.22858891481467314,0.1290434031526668,0.002829560585885486
1.0,5,1-hop Gaussian,0.4563828324878647,0.7430977924133133,0.9995057253480517,0.2621764121180691,0.41539277949911846,0.26214242502808743,0.028832688030315513
1.0,5,2-hop Gaussian,0.44272231297655074,0.7251640188816411,0.9901062363149785,0.2638186611348805,0.41662543295398324,0.263125,0.016057091882247992
1.0,5,4-hop Gaussian,0.5422396743905381,0.7015102549895917,0.9986449368247574,0.5892216604001902,0.7411494502806354,0.5887509446183742,0.268082768723677
1.0,5,8-hop Gaussian,0.3942439397661697,0.6495945809390289,0.9995842283972005,0.311703185098751,0.475217842494523,0.3116627776337395,0.2579862795371076
1.0,6,No graph,0.3518232402483982,0.6599831297522276,0.9745464772887077,0.1497471800855698,0.25960403828504,0.14916377881573,0.0019687807621994093
1.0,6,1-hop Gaussian,0.4942577695287803,0.755424790153441,0.9983130028549182,0.33246899174553785,0.4988166639649862,0.3322823082239115,0.06021282117830262
1.0,6,2-hop Gaussian,0.4957376496745255,0.7361365590275022,0.9985181672692787,0.3640174597000735,0.5335318057293069,0.3638209187309678,0.1982099460612886
1.0,6,4-hop Gaussian,0.47858983886351,0.7059037694168682,0.9955884947944239,0.3657461428756645,0.5349642061347366,0.3651543589411689,0.14257984824422093
1.0,6,8-hop Gaussian,0.5140591675987853,0.6617987465243526,0.9964564915613355,0.5894161372574441,0.740699505783957,0.5881832884097035,0.5408782055965514
1.0,7,No graph,0.38544713509644307,0.6789841996871915,0.9687913250462841,0.15830416180474524,0.2721396731054978,0.15750096745066003,0.0021158423697434543
1.0,7,1-hop Gaussian,0.7078477223456175,0.790293680550537,0.9962945153169462,0.7610959851333247,0.8629564748686159,0.7589476179189382,0.2952224705116963
1.0,7,2-hop Gaussian,0.4933862313036262,0.7284962498071279,0.9989015817223199,0.39301611997061237,0.564091430698136,0.39284634325456824,0.20815026362038663
1.0,7,4-hop Gaussian,0.5053393485743295,0.7044440345150572,0.9989412611696946,0.5097022343230044,0.6749939191026026,0.509427034965337,0.29128022699360523
1.0,7,8-hop Gaussian,0.5458567641542171,0.6776482646440697,0.99551631372008,0.6237088897532305,0.7669252843022638,0.62196173073608,0.46702766089535763
1.0,8,No graph,0.3651135154499488,0.6620702179990077,0.9927404718693285,0.17729806819655128,0.30086353885924866,0.1770684966981743,0.0024198427102238356
1.0,8,1-hop Gaussian,0.5017331874512632,0.7486876682879431,0.9979945566537746,0.3010933921085613,0.4626162018592297,0.30091132898544465,0.1042830540037244
1.0,8,2-hop Gaussian,0.501327955026188,0.7279296828421754,0.9987996508075077,0.39556592765460913,0.5666965916478346,0.395377969762419,0.20329550414666084
1.0,8,4-hop Gaussian,0.5064030105458108,0.6954480725942398,0.9986511182664695,0.4959375945373612,0.6627490615073636,0.4956056058217625,0.2788704203289531
1.0,8,8-hop Gaussian,0.48850975157199544,0.6583290228021589,0.9978194152802455,0.5339470158606682,0.6956448298189803,0.5333246999913667,0.28900823776449686
1.0,9,No graph,0.32621210710054543,0.6384984230480902,0.987869822485207,0.1443018280824582,0.25181945020551305,0.14404659188955996,0.0026627218934911242
1.0,9,1-hop Gaussian,0.5011722381752454,0.7519520209515322,0.9986706145386428,0.35712433553740436,0.5261113852324638,0.3569546436285097,0.058613813523475736
